web-scraper-order,web-scraper-start-url,single,single-href,title,price,discription,productdiscription,ASIN,manufacturer,rating,NumberofReviews
"1690354932-1","https://www.amazon.in/s?k=bags&page=20&crid=2M096C61O4MLT&qid=1690294618&sprefix=ba%2Caps%2C283&ref=sr_pg_2","FUR JADEN Anti Theft Number Lock Backpack Bag with 15.6 Inch Laptop Compartment, USB Charging Port & Organizer Pocket for Men Women Boys Girls","https://www.amazon.in/Number-Backpack-Compartment-Charging-Organizer/dp/B09VTC876Z/ref=sr_1_308?crid=2M096C61O4MLT&keywords=bags&qid=1690354889&sprefix=ba%2Caps%2C283&sr=8-308","FUR JADEN Anti Theft Number Lock Backpack Bag with 15.6 Inch Laptop Compartment, USB Charging Port & Organizer Pocket for Men Women Boys Girls","670","<ul class=""a-unordered-list a-vertical a-spacing-mini"">  <li class=""a-spacing-mini""><span class=""a-list-item""> Care Instructions: Wipe with Damp Cloth  </span></li>  <li class=""a-spacing-mini""><span class=""a-list-item""> Number Lock: This Fur Jaden Anti Theft laptop backpack comes equipped with a Number Lock. This helps keep your laptop and other belongings safe when you need to leave your bag unattended in a public space. The number lock sequence can be changed and customised by your directly.&lt;br&gt;  </span></li>  <li class=""a-spacing-mini""><span class=""a-list-item""> USB Charging Port: Now charge your devices on the go with your new Fur Jaden backpack without the hassle of carrying a bulk power bank in your pocket/ hand at all times.&lt;br&gt;  </span></li>  <li class=""a-spacing-mini""><span class=""a-list-item""> Ergonomic Design: This backpack has been designed to ensure equal weight distribution on your shoulders along with padded shoulder straps and breathable air mesh on the back.&lt;br&gt;  </span></li>  <li class=""a-spacing-mini""><span class=""a-list-item""> Dimension: 42 CM (L) x 30 CM (W) x 18 CM (D). Storage Capacity: 25L. Weight: 600 Grams; Warranty: 1 Year Manufacturer Warranty against Manufacturing Defects&lt;br&gt;  </span></li>  <li class=""a-spacing-mini""><span class=""a-list-item""> Lining Description: Polyester; Age Range Description: Adult; Closure Type: Zipper&lt;br&gt;  </span></li>  </ul>   <!-- Loading EDP related metadata -->","","B09VTC876Z","₹4,800.00","","4,956 ratings"
"1690354940-2","https://www.amazon.in/s?k=bags&page=20&crid=2M096C61O4MLT&qid=1690294618&sprefix=ba%2Caps%2C283&ref=sr_pg_2","Gear ECO 1 Black Orange Red Laptop Backpack","https://www.amazon.in/Gear-Polyester-Laptop-Backpack-LBPECO1000109/dp/B012NW1H1I/ref=sr_1_307?crid=2M096C61O4MLT&keywords=bags&qid=1690354889&sprefix=ba%2Caps%2C283&sr=8-307","Gear ECO 1 Black Orange Red Laptop Backpack","879","<ul class=""a-unordered-list a-vertical a-spacing-mini"">  <li class=""a-spacing-mini""><span class=""a-list-item""> Outer Material: Polyester, Color: Jet Black  </span></li>  <li class=""a-spacing-mini""><span class=""a-list-item""> Capacity: 24 liters; Weight: 584 grams; Dimensions: 46 cms x 33 cms x 16 cms (LxWxH)  </span></li>  <li class=""a-spacing-mini""><span class=""a-list-item""> Number of Compartments: 3  </span></li>  <li class=""a-spacing-mini""><span class=""a-list-item""> Bottle holder mesh  </span></li>  <li class=""a-spacing-mini""><span class=""a-list-item""> Embedded organizer  </span></li>  <li class=""a-spacing-mini""><span class=""a-list-item""> Heavily padded laptop sleeve fits upto 16 inches  </span></li>  <li class=""a-spacing-mini""><span class=""a-list-item""> Padded grab handle and bartacked load points  </span></li>  </ul>   <!-- Loading EDP related metadata -->
                    <div class=""a-row a-expander-container a-expander-inline-container""> <div aria-expanded=""false"" class=""a-expander-content a-expander-extend-content"" style=""display:none"">    <ul class=""a-unordered-list a-vertical a-spacing-none"">  <li class=""a-spacing-mini""><span class=""a-list-item"">Padded anti-sweat back-panel and shoulder straps</span></li>  <li class=""a-spacing-mini""><span class=""a-list-item"">Bottom studs</span></li>  <li class=""a-spacing-mini""><span class=""a-list-item"">Three main compartments</span></li>  <li class=""a-spacing-mini""><span class=""a-list-item"">One front smaller compartment</span></li>  <li class=""a-spacing-mini""><span class=""a-list-item"">Bottle holder mesh</span></li>  <li class=""a-spacing-mini""><span class=""a-list-item"">Embedded organizer</span></li>  <li class=""a-spacing-mini""><span class=""a-list-item"">Heavily padded sleeve which fits laptop</span></li>  <li class=""a-spacing-mini""><span class=""a-list-item"">Padded grab handle</span></li>  </ul>   </div> <a data-csa-c-func-deps=""aui-da-a-expander-toggle"" data-csa-c-type=""widget"" data-csa-interaction-events=""click"" aria-expanded=""false"" role=""button"" href=""javascript:void(0)"" data-action=""a-expander-toggle"" class=""a-expander-header a-declarative a-expander-extend-header"" data-a-expander-toggle=""{&quot;allowLinkDefault&quot;:true, &quot;expand_prompt&quot;:&quot;Show More&quot;, &quot;collapse_prompt&quot;:&quot;Show Less&quot;}"" data-csa-c-id=""6nm9p0-cqvwnt-dsf0tk-qb9cos""><i class=""a-icon a-icon-extender-expand""></i><span class=""a-expander-prompt"">Show More</span></a>  </div>","","B012NW1H1I","Gear, Gear Merchandise PVT LTD E/12 West Chowbaga Gulshan colony KoLkata-700100 Contact 9830403366","","1,399 ratings"
"1690354963-3","https://www.amazon.in/s?k=bags&page=19&crid=2M096C61O4MLT&qid=1690294618&sprefix=ba%2Caps%2C283&ref=sr_pg_2","F Gear Yakuza Brown 34 liter Laptop Backpack Sch Bag","https://www.amazon.in/F-Gear-Yakuza-Brown-Laptop-Backpack/dp/B071VNWC1C/ref=sr_1_308?crid=2M096C61O4MLT&keywords=bags&qid=1690354936&sprefix=ba%2Caps%2C283&sr=8-308","F Gear Yakuza Brown 34 liter Laptop Backpack Sch Bag","1,099","<ul class=""a-unordered-list a-vertical a-spacing-mini"">  <li class=""a-spacing-mini""><span class=""a-list-item""> 2 Compartment with laptop sleeve (Up to 18 inch) with comprehensive pen-accessories organizer and one mesh zip pocket.  </span></li>  <li class=""a-spacing-mini""><span class=""a-list-item""> 2 Exterior Pockets and 2 side mesh bottle holder. Adjustable shoulder strip  </span></li>  <li class=""a-spacing-mini""><span class=""a-list-item""> Foam Padded Straps  </span></li>  <li class=""a-spacing-mini""><span class=""a-list-item""> Size-(Hxlxw) Cm-(46x34x18) Cm  </span></li>  </ul>   <!-- Loading EDP related metadata -->","About Us                                      Our goal at F Gear is to design, invent, engineer,  manufacture and market innovative, high quality products that integrate  style, functionality and design technology to meet the changing  lifestyle and needs of people in every hemisphere of their  lives. Every design invented by us is made to gear you up for a smooth  travel experience.","Uber Fashion Merchandise Pvt. Ltd.","Unisex-adult","","818 ratings"
"1690354969-4","https://www.amazon.in/s?k=bags&page=19&crid=2M096C61O4MLT&qid=1690294618&sprefix=ba%2Caps%2C283&ref=sr_pg_2","CAPRIFF 32 L Casual Waterproof Laptop Bag/Backpack for Men Boys & Girls For Office School College Teens & Students with Rain Cover With adjustable Strap With 2 Compartment","https://www.amazon.in/Capriff-Liters-Collage-travell-Backpack/dp/B084T7X2HX/ref=sr_1_307?crid=2M096C61O4MLT&keywords=bags&qid=1690354936&sprefix=ba%2Caps%2C283&sr=8-307","CAPRIFF 32 L Casual Waterproof Laptop Bag/Backpack for Men Boys & Girls For Office School College Teens & Students with Rain Cover With adjustable Strap With 2 Compartment","539","<ul class=""a-unordered-list a-vertical a-spacing-mini"">  <li class=""a-spacing-mini""><span class=""a-list-item""> Care Instructions: Hand Wash Only  </span></li>  <li class=""a-spacing-mini""><span class=""a-list-item""> Capacity: 35Litres; Quality: best quality as it is perfectly designed and made from high quality lightweight nylon and double dotted waterproof polyester.&lt;br&gt; &lt;br&gt;  </span></li>  <li class=""a-spacing-mini""><span class=""a-list-item""> This backpack is made to used for boys, girls, men, women and kids. This bag is very good for boys and girls of age because it has enough space to carry all books and accessories and it is very comfortable and stylish.&lt;br&gt; &lt;br&gt;  </span></li>  <li class=""a-spacing-mini""><span class=""a-list-item""> Two Main Compartment And One Extra Compartment Offers Space For Magazines, Notepad,Other Laptop Accessories, Stationery items || Eco-friendly, Durable, Lightweight, Flexible And Star Water-Resistant Material Helps To Keep The Interior Dry with a high quality material that keep Dust away.&lt;br&gt; &lt;br&gt;  </span></li>  <li class=""a-spacing-mini""><span class=""a-list-item""> Closure Type: Zipper; Strap Type: Shoulder Strap; Age Range Description: Adult; Compartment Description: Greater Than 17 Inches &lt;br&gt;  </span></li>  </ul>   <!-- Loading EDP related metadata -->","Material                                      Nylon is   a thermoplastic synthetic material which can be processed into different   fibres and shapes. It is durable, has high tensile strength' and can   withstand abrasion which makes it a very popular material used in   manufacturing luggage. Unlike other derived fibres, nylon fibers are entirely   synthetic, which means that they have no basis in organic material.","B084T7X2HX","426 g","","3,102 ratings"
"1690354980-5","https://www.amazon.in/s?k=bags&page=19&crid=2M096C61O4MLT&qid=1690294618&sprefix=ba%2Caps%2C283&ref=sr_pg_2","AirCase Premium Messenger Bag fits Upto 14.1"" Laptop/MacBook with Handles & Detachable Shoulder Strap |Multiple Spacious Compartments | 2 in 1 Usage | Water Repellent Durable Polyester (Grey)","https://www.amazon.in/AirCase-Messenger-Detachable-Compartments-Repellent/dp/B0B74Z4F6P/ref=sr_1_306?crid=2M096C61O4MLT&keywords=bags&qid=1690354936&sprefix=ba%2Caps%2C283&sr=8-306","AirCase Premium Messenger Bag fits Upto 14.1"" Laptop/MacBook with Handles & Detachable Shoulder Strap |Multiple Spacious Compartments | 2 in 1 Usage | Water Repellent Durable Polyester (Grey)","529","<ul class=""a-unordered-list a-vertical a-spacing-mini"">  <li class=""a-spacing-mini""><span class=""a-list-item""> SUPERIOR PROTECTION: Made with outstanding quality Polyester, this Laptop messenger Bag is Wrinkle-Free, Water-Resistant &amp; Impact-Resistant. A padded inner layer protects your accessories against dust, dirt, bump, shock and accidental scratches, providing added safety to your Laptop/ Macbook/Tablet.  </span></li>  <li class=""a-spacing-mini""><span class=""a-list-item""> INCREDIBLY SPACIOUS: This large Capacity satchel Bag comes with 2 compartments for up to a 14.1” Laptop or tablet, hard disk, file, notebook, cheque book and other office supplies. There is one external zippered pocket for smartphone, power adapter, power bank, mouse and other utilities.  </span></li>  <li class=""a-spacing-mini""><span class=""a-list-item""> LIGHTWEIGHT &amp; TRAVEL FRIENDLY: This Travel Bag comes with a Luggage strap and is Slim, Portable &amp; Lightweight making it a perfect companion for Travel, Office, Business or College. It has reinforced stitching and High Quality Zippers which makes it extremely durable.  </span></li>  <li class=""a-spacing-mini""><span class=""a-list-item""> 2-IN-1 USAGE: This Briefcase Bag has a Detachable Padded Shoulder Strap to carry as a Shoulder bag and also has Comfortable Grab Handles to use as a Side Bag.  </span></li>  <li class=""a-spacing-mini""><span class=""a-list-item""> WIDE COMPATIBILITY:C122: Compatible with Laptops upto 14.1”  </span></li>  </ul>   <!-- Loading EDP related metadata -->
                 <span class=""caretnext"">›</span> <a id=""seeMoreDetailsLink"" class=""a-link-normal"" href=""#productDetails"">See more product details</a>","","","₹4,999.00","",""
"1690354997-6","https://www.amazon.in/s?k=bags&page=19&crid=2M096C61O4MLT&qid=1690294618&sprefix=ba%2Caps%2C283&ref=sr_pg_2","PUMA 26 Ltrs Puma Black Laptop Backpack","https://www.amazon.in/Puma-Black-Laptop-Backpack-7573301/dp/B07JHJCZSM/ref=sr_1_305?crid=2M096C61O4MLT&keywords=bags&qid=1690354936&sprefix=ba%2Caps%2C283&sr=8-305","PUMA 26 Ltrs Puma Black Laptop Backpack","1,239","<ul class=""a-unordered-list a-vertical a-spacing-mini"">  <li class=""a-spacing-mini""><span class=""a-list-item""> Care Instructions: Hand Wash Only  </span></li>  <li class=""a-spacing-mini""><span class=""a-list-item""> Outer Material: Polyester, Color: Puma Black  </span></li>  <li class=""a-spacing-mini""><span class=""a-list-item""> Capacity: 26 liters; Dimensions: 32 cms x 48 cms x 15 cms (LxWxH)  </span></li>  <li class=""a-spacing-mini""><span class=""a-list-item""> Number of compartments: 2  </span></li>  <li class=""a-spacing-mini""><span class=""a-list-item""> Laptop Compatibility: Yes, Laptop Size: 16 inches  </span></li>  <li class=""a-spacing-mini""><span class=""a-list-item""> Warranty type: Manufacturer; 3 months  </span></li>  <li class=""a-spacing-mini""><span class=""a-list-item""> Durabase  </span></li>  </ul>   <!-- Loading EDP related metadata -->
                    <div class=""a-row a-expander-container a-expander-inline-container""> <div aria-expanded=""false"" class=""a-expander-content a-expander-extend-content"" style=""display:none"">    <ul class=""a-unordered-list a-vertical a-spacing-none"">  <li class=""a-spacing-mini""><span class=""a-list-item"">Pattern type:Solid</span></li>  <li class=""a-spacing-mini""><span class=""a-list-item"">Co.01: 82% 600D Polyester with PU backing / 18% 600D Polyester Galaxy PU. Co.02/05/06: 100% 600D Polyester with PU backing. Co.04/09/10/23: 84% 600D Polyester with PU backing / 16% 600D Polyester Galaxy PU</span></li>  </ul>   </div> <a data-csa-c-func-deps=""aui-da-a-expander-toggle"" data-csa-c-type=""widget"" data-csa-interaction-events=""click"" aria-expanded=""false"" role=""button"" href=""javascript:void(0)"" data-action=""a-expander-toggle"" class=""a-expander-header a-declarative a-expander-extend-header"" data-a-expander-toggle=""{&quot;allowLinkDefault&quot;:true, &quot;expand_prompt&quot;:&quot;Show More&quot;, &quot;collapse_prompt&quot;:&quot;Show Less&quot;}"" data-csa-c-id=""gtd224-oenjq9-22925l-c4lm2e""><i class=""a-icon a-icon-extender-expand""></i><span class=""a-expander-prompt"">Show More</span></a>  </div>","","B07JHJCZSM","Puma, Kanaan Saigon Co., Ltd. DUC HOA HA VILLAGE DUC HOA TOWN 853950 -","","89 ratings"
"1690355001-7","https://www.amazon.in/s?k=bags&page=19&crid=2M096C61O4MLT&qid=1690294618&sprefix=ba%2Caps%2C283&ref=sr_pg_2","Vivinkaa Sling Bag for Women, Bags for Women, Sling Bag, Purse for Women, Sling Bag for Women Stylish, Sling Bag for Girls, Women Sling Bag, Bag for Girls - Indigo","https://www.amazon.in/Vivinkaa-Womens-Sling-Bag-Blue/dp/B077WSKG53/ref=sr_1_304?crid=2M096C61O4MLT&keywords=bags&qid=1690354936&sprefix=ba%2Caps%2C283&sr=8-304","Vivinkaa Sling Bag for Women, Bags for Women, Sling Bag, Purse for Women, Sling Bag for Women Stylish, Sling Bag for Girls, Women Sling Bag, Bag for Girls - Indigo","549","<ul class=""a-unordered-list a-vertical a-spacing-mini"">  <li class=""a-spacing-mini""><span class=""a-list-item""> Outer Material for this sling bag is : Faux Leather ; Inner Material : Polycotton  </span></li>  <li class=""a-spacing-mini""><span class=""a-list-item""> Color : Blue ; Ocassion : Travelling,Business  </span></li>  <li class=""a-spacing-mini""><span class=""a-list-item""> Dimension : LengthX HeightX Width = 10x10.5x1 inches  </span></li>  <li class=""a-spacing-mini""><span class=""a-list-item""> Number Of Compartments : 1 ; Number Of Pockets : 2 ; Closure Type : Zip ; Handle : Single  </span></li>  <li class=""a-spacing-mini""><span class=""a-list-item""> Wash Care : Wipe With Clean Dry Cloth. Do not expose to extreme heat.  </span></li>  </ul>   <!-- Loading EDP related metadata -->","Vivinkaa Women's Sling Bag                                      Flaunt your style with this sling bag from the house of Vivinkaa. This sling bag is made from cotton material and is blue in colour. The sling bag has compartments to store your belongings in an organized way. It is a suitable choice when you want to carry your essentials in style without compromising on utility.","Vivinkaa","Women","","1,966 ratings"
"1690355006-8","https://www.amazon.in/s?k=bags&page=19&crid=2M096C61O4MLT&qid=1690294618&sprefix=ba%2Caps%2C283&ref=sr_pg_2","SPENZ BAGS Travel Laptop Backpack for Women & Men|Carry On Bag, College & School Students Bookbag With Raincover","https://www.amazon.in/SPENZ-BAGS-Backpack-Raincover-Jet-Black/dp/B0C3RLGGVZ/ref=sr_1_303?crid=2M096C61O4MLT&keywords=bags&qid=1690354936&sprefix=ba%2Caps%2C283&sr=8-303","SPENZ BAGS Travel Laptop Backpack for Women & Men|Carry On Bag, College & School Students Bookbag With Raincover","999","<ul class=""a-unordered-list a-vertical a-spacing-mini"">  <li class=""a-spacing-mini""><span class=""a-list-item""> Care Instructions: Hand Wash Only  </span></li>  <li class=""a-spacing-mini""><span class=""a-list-item""> LARGE CAPACITY &amp; MANY POCKETS: This backpack has two main compartment pockets. One separate laptop compartment holds 15.6 Inch Laptop as well as 15 Inch, 14 Inch and 13 Inch Mac book or Laptop. The other one packing compartment is roomy for daily necessities and tech electronics accessories. Front compartment with zipper pocket and 2 elastic mesh side pockets.Make your items organized and easier to find.  </span></li>  <li class=""a-spacing-mini""><span class=""a-list-item""> COMFY &amp; BREATHABLE BACKPACK: Adjustable shoulder straps and back side comes with comfortable and breathable mesh design, relieves the stress of your shoulder. A comfortable airflow foam-pad back design with soft, multi-panel breathable mesh padding, offer your back maximum back support. A foam-padded top handle for a long time carry on.  </span></li>  <li class=""a-spacing-mini""><span class=""a-list-item""> HIGH QUALITY MATERIAL: Our backpack made of waterproof and quality Polyester fabric with metal zippers. Lightweight and sturdy, ensure a secure &amp; long-lasting usage every day. Perfects for weekend getaways, shopping, office work, business traveling and other outdoor activities. Also, it is a perfect student’s backpack for women, men, teens, boys and girls.  </span></li>  <li class=""a-spacing-mini""><span class=""a-list-item""> LAPTOP PROTECTION: Separate laptop compartment with foam padded of this back pack offers the optimal protection for your 15.6 inch laptop. Mesh pockets for mouse, adapter, charging cord and other electronics. Take the worry out of your work and study.  </span></li>  <li class=""a-spacing-mini""><span class=""a-list-item""> IDEAL GIFT: This fashionable backpack can be a great companion for travel, business, everyday use and outdoor activities. Also, a perfect college high school student backpack for boys, girls, teens. Practical gifts for teens, boys, girls, friends, mother, father, her or him.  </span></li>  </ul>   <!-- Loading EDP related metadata -->","","B0C3RLGGVZ","₹2,979.00","","122 ratings"
"1690355013-9","https://www.amazon.in/s?k=bags&page=19&crid=2M096C61O4MLT&qid=1690294618&sprefix=ba%2Caps%2C283&ref=sr_pg_2","TAGUDA travel foldable portable lightweight luggage storage duffle tote hand organizer easy carry bags backpack set for men women travel luggage (Mint Green Travel bag)","https://www.amazon.in/TAGUDA-foldable-portable-lightweight-organizer/dp/B0B8CSC4F1/ref=sr_1_302?crid=2M096C61O4MLT&keywords=bags&qid=1690354936&sprefix=ba%2Caps%2C283&sr=8-302","TAGUDA travel foldable portable lightweight luggage storage duffle tote hand organizer easy carry bags backpack set for men women travel luggage (Mint Green Travel bag)","299","<ul class=""a-unordered-list a-vertical a-spacing-mini"">  <li class=""a-spacing-mini""><span class=""a-list-item""> Good Quality Material&lt;br&gt; &lt;br&gt;  </span></li>  <li class=""a-spacing-mini""><span class=""a-list-item""> Strap Type: Adjustable &lt;br&gt;  </span></li>  </ul>   <!-- Loading EDP related metadata -->","","China","₹2,999.00","","86 ratings"
"1690355020-10","https://www.amazon.in/s?k=bags&page=19&crid=2M096C61O4MLT&qid=1690294618&sprefix=ba%2Caps%2C283&ref=sr_pg_2","Lunar's Small Bag for Daily Use - 1 Compartment Mini Backpack for Hiking Camping Rucksack (Black)","https://www.amazon.in/Lunars-Small-Bag-Daily-Use/dp/B08N47VTFQ/ref=sr_1_301?crid=2M096C61O4MLT&keywords=bags&qid=1690354936&sprefix=ba%2Caps%2C283&sr=8-301","Lunar's Small Bag for Daily Use - 1 Compartment Mini Backpack for Hiking Camping Rucksack (Black)","339","<ul class=""a-unordered-list a-vertical a-spacing-mini"">  <li class=""a-spacing-mini""><span class=""a-list-item""> ?SMALL BAG - Please note that this is a small sized backpack. Request you to see Mannequin Image to understand product size before ordering.&lt;br&gt;&lt;br&gt;&lt;br&gt; &lt;br&gt;  </span></li>  <li class=""a-spacing-mini""><span class=""a-list-item""> ?MADE IN INDIA - This “MAKE IN INDIA” Product features 1 main zippered compartment, 1 zip pocket at front. Dimension : 16 (H) x 12 (W) x 4.5 (B). Capacity : 12 Litres&lt;br&gt;&lt;br&gt;&lt;br&gt; &lt;br&gt;  </span></li>  <li class=""a-spacing-mini""><span class=""a-list-item""> Ideal For - Men, Women and Children of all age groups. Can be used for Hiking, Trekking or as a Casual Backpack for Daily Commute&lt;br&gt;&lt;br&gt;&lt;br&gt; &lt;br&gt;  </span></li>  <li class=""a-spacing-mini""><span class=""a-list-item""> The backpack features a sleek and ergonomic design with a balanced weight distribution. This makes this product a suitable alternative to bulky and unsightly backpacks. The compact design of this backpack helps you to rest it comfortably on your shoulders while accommodating all your essentials with ease.&lt;br&gt;; Age Range Description: Adult&lt;br&gt;&lt;br&gt;; Compartment Description: Not Laptop Compatible; Strap Type: Padded Strap; Water Resistance Level: Water Resistant&lt;br&gt; &lt;br&gt;  </span></li>  <li class=""a-spacing-mini""><span class=""a-list-item""> Pattern Name: Solid &lt;br&gt;  </span></li>  </ul>   <!-- Loading EDP related metadata -->","","B08N47VTFQ","Lunar's","","566 ratings"
